start_station_id,end_station_id,n_trips,duration
70,29,1,28226
70,39,1406,1299056
70,41,1294,1219638
70,42,1700,1418234
70,45,794,658666
70,46,317,266322
70,47,755,579832
70,48,1288,1382065
70,49,1216,826254
70,50,3622,3036218
70,51,3031,1954045
70,54,1678,1018200
70,55,3510,2593350
70,56,1172,1112601
70,57,1262,564182
70,58,181,193481
70,59,404,393339
70,60,1494,1952058
70,61,1690,764350
70,62,1313,622641
70,63,2168,1239892
70,64,1130,487625
70,65,2320,854994
70,66,749,831261
70,67,1579,1313839
70,68,2097,1006911
70,69,108,525719
70,70,533,3615683
70,71,362,490425
70,72,708,574678
70,73,442,605577
70,74,2866,2131235
70,75,1156,1001535
70,76,1151,834436
70,77,2598,2216985
70,82,996,946617
71,39,329,593466
71,41,175,131698
71,42,413,248904
71,45,225,146777
71,46,383,366500
71,47,293,231095
71,48,154,512759
71,49,140,113730
71,50,566,1004063
71,51,98,94993
71,54,85,86791
71,55,171,125481
71,56,337,217864
71,57,269,253637
71,58,109,97733
71,59,155,332026
71,60,788,1988316
71,61,235,189640
71,62,244,153653
71,63,787,328822
71,64,328,202257
71,65,544,438106
71,66,210,305429
71,67,543,823721
71,68,311,198098
71,69,604,397768
71,70,896,809723
71,71,619,6511257
71,72,332,278808
71,73,363,500789
71,74,408,393080
71,75,376,476048
71,76,219,736657
71,77,453,363890
71,82,334,197946
72,39,614,1127136
72,41,219,205637
72,42,67,60649
72,45,191,190464
72,46,181,151967
72,47,195,155759
72,48,116,312774
72,49,69,67758
72,50,241,423716
72,51,37,31072
72,54,80,75346
72,55,463,305140
72,56,304,228733
72,57,346,145349
72,58,145,198635
72,59,420,564860
72,60,605,1222170
72,61,128,131824
72,62,148,106784
72,63,167,105782
72,64,234,197772
72,65,2672,1559054
72,66,1045,723480
72,67,884,788031
72,68,147,175296
72,69,501,452192
72,70,811,509818
72,71,212,392879
72,72,436,3766862
72,73,173,572315
72,74,393,463751
72,75,198,164215
72,76,865,855840
72,77,709,628170
72,82,86,94479
73,39,599,928212
73,41,604,209247
73,42,244,200809
73,45,714,324597
73,46,199,209446
73,47,371,379028
73,48,118,324029
73,49,323,259892
73,50,538,972246
73,51,1098,696170
73,54,150,178218
73,55,718,410461
73,56,789,385818
73,57,149,174576
73,58,85,252988
73,59,72,397570
